Sl. No.,State/UT,No. of EVPCS
1,Karnataka,5765
2,Maharashtra,3728
3,Uttar Pradesh,1989
4,Delhi,1941
5,Tamil Nadu,1413
6,Kerala,1212
7,Rajasthan,1129
8,Gujarat,992
9,Telangana,956
10,Madhya Pradesh,903
11,West Bengal,763
12,Haryana,709
13,Andhra Pradesh,601
14,Punjab,593
15,Odisha,488
16,Bihar,347
17,Assam,276
18,Chhattisgarh,271
19,Jharkhand,256
20,Uttarakhand,177
21,Jammu and Kashmir,159
22,Goa,137
23,Himachal Pradesh,106
24,Tripura,50
25,Manipur,46
26,Meghalaya,43
27,Puducherry,41
28,Arunachal Pradesh,41
29,Nagaland,28
30,Chandigarh,13
31,Mizoram,12
32,Dadra and Nagar Haveli and Daman and Diu,6
33,Sikkim,5
34,Andaman and Nicobar Islands,4
35,Lakshadweep,1
36,Ladakh,1
Total EVPCS (Nos.),Total EVPCS (Nos.),25202
