Model,Price,Range,Charging_time,Top_speed,Motor_type,Battery_type,Battery_capacity,Wheels_type,Tyre_type
Ola S1,100000,128,,95,Mid Drive IPM,,3 kWh,Aluminium Alloy,Tubeless
TVS iQube Electric,160000,100,2 Hour 50 Min - 80%,78,BLDC,Lithium Ion,3.04 kwh,Alloy,Tubeless
Ather 450X,98000,146,5 hours 40 minutes,90,PMSM,Lithium-ion,3.7 kWh,Alloy,Tubeless
Bajaj Chetak,122000,90,4 Hours,63,BLDC,Lithium Ion,3.04,Alloy,Tubeless
Ola S1 Pro,124000,181,,116,Mid Drive IPM,,4 kWh,Aluminium Alloy,Tubeless
Simple One,109000,300,,105,PMAC,Lithium Ion,4.8 kWh ,Alloy,Tubeless
Vida V1,128000,165,65 minutes ( 0-80 ),80,PMSM,,3.94 kWh,Alloy,Tubeless
Hero Electric Optima,67000,140,,45,BLDC,,1.54,Alloy,
Ampere Magnus EX,84000,121,,50,BLDC,Lithium Ion,2.3,Alloy,
Bounce Infinity E1,64000,85,,65,BLDC,Lithium Ion,1.9 KWh,Alloy,Tubeless
Okinawa PraisePro,100000,88,,58,BLDC,Lithium Ion,2.0 kWh,Alloy,Tubeless
Kinetic Green Zoom,75000,100,,40,BLDC,Lithium Ion,1.68,ALLOY,Tubeless
Ampere Primus,109000,107,,77,PMSM,LFP,3 Kwh,Alloy,Tubeless
Kinetic Green Zing,72000,100,,45,BLDC,Lithium Ion,1.68,ALLOY,Tubeless
River Indie,125000,120,,90,Mid-Drive PMSM,Lithium-Ion,4 kWh,Alloy Wheels,
Okinawa R30,62000,60,,25,BLDC,Lithium-Ion,1.25 KWH,Alloy,Tubeless
Okinawa iPraise+,145000,139,,58,BLDC,Lithium Ion,3.3 KWH,Alloy,Tubeless
Hero Electric NYX,74000,100,,42,BLDC,Lithium-Ion,2.69,Alloy,Tube
AMO Electric Jaunty-3W,63000,75,6 Hours,25,Brushless DC,VRLA,1.56,Alloy,Tubeless
Ujaas eZy,32000,60,,,BLDC,Lead Acid,1.25,Alloy,Tubeless
Ozotec Flio,113000,,,,BLDC,,,Alloy,Tubeless
Gravton Quanta,99000,,,70,BLDC,Lithium Ion, 2.5 kWh,Alloy,Tubeless
Hero Electric Photon,86000,60,,45,BLDC,Li-ion,1.44,Steel,Tube
Avon E Plus,25000,50,,24,BLDC,VRLA,0.58,Alloy,Tube
Komaki XGT KM,43000,150,,,BLDC,Lithium-Ion,,,Tubeless
